number,school,team,exhibition,city,state,track,rank,total,Air Trajectory,Anatomy and Physiology,Astronomy,Chem Lab,Codebusters,Detector Building,Disease Detectives,Dynamic Planet (Trialed),Ecology,Experimental Design,Fermi Questions,Flight,Forensics,Forestry,Fossils,Geologic Mapping,Microbe Mission,Optics,Pokemon Pathology (Trial),Quantum Quandaries (Trial),Robot Tour,Scrambler,Towers,Wind Power,Write It Do It
12,Fulton Science Academy,A,,,GA,,1,66,1,6,1,10,1,1,1,1,2,3,4,12,1,1,2,1,1,1,43,43,1,1,5,8,2
17,James S. Rickards High School,A,,,FL,,2,78,4,3,3,1,2,2,6,3,1,2,1,2,6,3,7,7,3,10,43,8,2,2,3,4,4
4,Chattahoochee High School,A,,,GA,,3,145,3,1,2,7,7,11,3,7,13,1,10,6,3,2,3,2,7,4,18,2,3,11,2,1,43
36,Orlando Science High School,C,,,FL,,4,211,15,2,7,5,9,21,2,6,14,5,15,3,2,9,5,3,4,21,6,43,43,9,1,15,1
5,Chattahoochee High School,B,,,GA,,5,282,7,18,4,6,3,7,7,3,4,10,18,28,7,26,22,6,24,7,17,3,15,14,4,2,43
18,James S. Rickards High School,B,,,FL,,6,296,11,21,6,31,6,20,12,7,6,30,13,7,10,27,10,14,10,9,43,43,19,3,8,5,18
35,Orlando Science High School,B,,,FL,,7,296,10,19,14,11,12,13,9,23,22,6,8,18,15,19,24,13,9,5,2,43,15,8,22,9,15
33,Northview High School,B,,,GA,,8,299,19,4,8,8,10,6,10,12,3,4,2,10,11,15,43,5,2,3,8,1,43,43,20,3,27
27,Lambert High School,A,,,GA,,9,315,2,27,22,9,13,3,18,20,18,24,3,5,16,25,23,8,11,11,1,4,15,16,15,7,24
8,Ed W. Clark High School,A,,,NV,,10,335,9,32,15,32,14,8,21,26,5,18,14,4,13,13,18,27,17,18,43,43,12,13,9,17,6
9,Ed W. Clark High School,B,,,NV,,11,342,20,14,16,28,22,12,23,23,9,12,25,21,20,23,1,4,19,6,7,43,4,17,11,23,12
24,"Lakeside High School, Evans, GA",A,,,GA,,12,361,43,9,19,3,15,17,20,2,20,35,9,26,24,5,11,9,6,2,43,43,9,7,13,16,43
21,Johns Creek High School,A,,,GA,,13,372,22,7,18,12,16,18,13,15,10,13,20,19,4,18,15,16,14,14,43,43,43,6,43,18,13
7,East Coweta High School,A,,,GA,,14,409,18,13,9,15,32,30,24,9,15,34,22,8,23,4,21,30,18,13,15,9,43,15,6,6,10
32,Northview High School,A,,,GA,,15,415,43,11,17,43,4,19,5,30,12,7,7,9,43,12,8,29,8,12,16,14,5,43,10,25,43
31,Northgate High School,B,,,GA,,16,428,5,15,26,17,20,14,22,26,26,28,17,24,22,31,14,22,21,22,3,10,6,22,14,11,29
1,Alliance Academy for Innovation,A,,,GA,,17,433,13,5,12,24,23,4,25,10,28,20,35,20,18,30,27,26,30,17,5,11,7,12,17,20,20
10,FCS Innovation Academy,A,,,GA,,18,452,43,16,11,27,26,28,4,15,16,8,11,22,14,32,4,10,16,8,13,7,43,43,24,30,16
30,Northgate High School,A,,,GA,,19,466,21,26,24,33,25,9,27,10,23,14,31,29,27,22,16,12,33,27,12,13,10,4,12,22,19
40,West Forsyth High School,A,,,GA,,20,479,8,17,13,30,11,10,30,17,24,25,28,16,30,24,29,20,15,26,14,12,20,25,43,14,21
34,Orlando Science High School,A,,,FL,,21,489,43,12,5,20,17,43,17,28,43,9,5,13,25,43,6,31,20,15,43,43,43,19,23,12,25
29,Lexington High School,A,,,SC,,22,504,6,34,43,18,19,5,26,12,25,32,34,1,42,6,13,21,25,31,9,6,15,23,16,43,26
19,James S. Rickards High School,C,,,FL,,23,518,16,29,25,22,35,43,29,42,29,22,12,11,33,21,26,23,22,43,43,43,8,24,7,21,17
2,Alliance Academy for Innovation,B,,,GA,,24,521,43,10,10,23,18,22,15,23,27,27,27,43,29,29,32,17,31,20,4,16,14,5,43,28,8
28,Lambert High School,B,,,GA,,25,523,43,24,20,16,29,26,8,14,30,33,30,27,31,11,17,15,5,28,10,5,43,10,43,29,5
23,Lakeside High School,A,,,GA,,26,525,43,33,21,14,31,23,31,43,21,31,19,23,34,16,19,25,27,19,43,43,13,20,43,10,9
13,Fulton Science Academy,B,,,GA,,27,562,43,20,43,2,5,16,11,20,11,43,43,15,5,8,12,43,13,43,43,43,43,43,43,43,14
11,FCS Innovation Academy,B,,,GA,,28,575,43,8,33,26,24,27,16,42,17,29,21,43,19,33,28,18,12,23,11,43,43,43,19,43,7
26,"Lakeside High School, Evans, GA",C,,,GA,,29,575,23,31,32,19,37,25,14,3,8,26,26,30,26,17,43,43,28,24,43,43,43,18,25,26,11
22,Johns Creek High School,B,,,GA,,30,581,43,23,27,13,21,29,19,43,19,19,24,43,12,10,31,24,34,16,43,43,43,21,43,24,43
25,"Lakeside High School, Evans, GA",B,,,GA,,31,585,17,25,31,4,33,24,33,19,31,15,29,43,32,14,30,11,43,25,43,43,43,43,18,13,28
41,Wheeler High School,A,,,GA,,32,618,12,28,23,25,28,43,43,17,33,16,33,17,21,7,43,19,26,30,43,43,43,43,43,19,23
15,Gilmer High School,A,,,GA,,33,642,43,30,30,29,36,43,34,31,32,21,23,25,28,20,25,28,29,29,43,15,43,43,21,27,3
20,James S. Rickards High School,D,,,FL,,34,648,14,43,28,34,8,43,43,28,43,43,6,14,8,43,9,32,32,43,43,43,11,43,43,43,22
6,Collins Hill High School,A,,,GA,,35,751,43,22,29,43,34,43,28,22,7,23,32,43,9,28,43,43,23,43,43,43,43,43,43,43,43
42,Wheeler High School,B,,,GA,,36,826,43,43,43,43,27,15,43,43,43,17,16,43,43,43,20,43,43,43,43,43,43,43,43,43,43
14,Fulton Science Academy,C,,,GA,,37,842,43,43,43,21,30,43,32,42,43,11,43,43,17,43,43,43,43,43,43,43,43,43,43,43,43
